from	to
tarragon	vetch
borage	apple
lovage	broccoli
mustard	pea
pole bean	cabbage
spinach	cauliflower
lovage	sorghum
spinach	passion fruit
chard	brassica
fava bean	spinach
bush bean	squash
tansy	melon
clover	carrot
yarrow	cucumber
mint	chili pepper
catnip	eggplant
zinnia	peanut
yarrow	crownvetch
soybean	marigold
broccoli	lettuce
leek	eggplant
mint	pepper
stinging nettle	sage
marigold	asparagus
marigold	melon
vetch	tomato
radish	pole bean
crownvetch	lettuce
leek	apricot
spinach	brassica
potato	corn
lovage	barley
soybean	grape
onion	soybean
fava bean	dill
borage	tomato
cauliflower	spinach
tomato	rose
pumpkin	corn
hyssop	brassica
tarragon	peanut
lovage	stinging nettle
borage	squash
field mustard	pepper
squash	lupin
oregano	pumpkin
pea	vetch
lovage	malabar spinach
cilantro	chard
crownvetch	summer savory
tomato	onion
lupin	cucumber
alfalfa	carrot
stinging nettle	marjoram
chamomile	basil
lovage	chive
lovage	tarragon
lovage	alyssum
tarragon	mustard
mint	leek
sorghum	squash
fava bean	lettuce
basil	petunia
peppermint	tomato
bush bean	cauliflower
nasturtium	tomato
fennel	dill
summer savory	melon
pea	potato
lovage	cilantro
valerian	Echinacea
lovage	tobacco
fava bean	summer savory
alfalfa	spinach
yarrow	carrot
soybean	cucumber
zinnia	tomato
bush bean	brassica
lovage	fenugreek
celery	leek
peanut	cilantro
lovage	pole bean
geranium	pepper
lovage	parsley
phacelia	lupin
carrot	chive
radish	lentil
lentil	strawberry
squash	soybean
pole bean	beet
borage	bush bean
mustard	cabbage
peanut	pole bean
stinging nettle	Angelica archangelica
larkspur	pea
rosemary	pea
sudan grass	corn
strawberry	apple
cucumber	clover
garlic	apricot
cucumber	okra
spearmint	chive
fenugreek	tomato
oregano	grape
tarragon	eggplant
tansy	pole bean
crownvetch	pea
garlic	pea
onion	chamomile
carrot	pole bean
carrot	parsley
corn	marigold
lovage	lemon balm
marigold	pole bean
yarrow	fava bean
leek	celery
onion	lentil
sunflower	asparagus
southernwood	pear
tomato	garlic
basil	oregano
asparagus	parsley
onion	rose
pea	tomato
phacelia	crownvetch
pea	squash
corn	lupin
eggplant	pole bean
alfalfa	potato
lupin	strawberry
yarrow	vetch
phacelia	soybean
vetch	celery
radish	lettuce
larkspur	alfalfa
rosemary	alfalfa
fava bean	pea
thyme	brassica
lovage	rose
chamomile	brassica
lovage	spinach
lettuce	lupin
leek	chili pepper
cabbage	sage
bush bean	pepper
peanut	spinach
summer savory	pole bean
rosemary	brassica
yarrow	peanut
clover	tomato
lemon balm	pear
cilantro	radish
soybean	strawberry
lovage	hedge mustard
beet	lupin
lovage	common rue
Cosmos	celery
onion	lettuce
tansy	rose
vetch	pepper
clover	eggplant
crownvetch	brassica
petunia	gourd
strawberry	passion fruit
lovage	sweet pea
pigweed	melon
basil	tomato
parsley	asparagus
strawberry	bush bean
squash	lentil
borage	pumpkin
hyssop	grape
sage	pole bean
lily	geranium
pumpkin	pole bean
comfrey	pear
corn	soybean
marigold	rose
pea	bush bean
onion	summer savory
fava bean	cauliflower
lovage	raspberry
basil	eggplant
crownvetch	cabbage
lavender	sage
tarragon	clover
lovage	lettuce
lettuce	crownvetch
marigold	onion
tarragon	okra
alfalfa	squash
lettuce	soybean
sorghum	pumpkin
dill	cucumber
lovage	rosemary
peanut	lettuce
tarragon	cabbage
cauliflower	alfalfa
fava bean	brassica
lovage	catnip
lovage	potato
lovage	brussels sprout
tarragon	celery
wormwood	carrot
cauliflower	bush bean
horseradish	apricot
beet	crownvetch
tansy	raspberry
mustard	broccoli
bush bean	marigold
peanut	potato
lentil	eggplant
tarragon	sweet potato
radish	pea
beet	soybean
sweet pea	lobelia
lily	snapdragon
lovage	atriplex
yarrow	tomato
carrot	lettuce
tomato	brassica
bush bean	grape
oregano	parsnip
zinnia	pepper
phacelia	fava bean
chive	apricot
southernwood	apple
vetch	marigold
carrot	rosemary
pea	celery
lovage	basil
stinging nettle	tomato
daisy	celery
crownvetch	corn
pole bean	chard
peppermint	leek
lovage	gourd
phacelia	vetch
lovage	apple
lovage	african spider plant
lovage	fennel
onion	apricot
alfalfa	cauliflower
onion	pea
lupin	tomato
borage	lupin
lily	pansy
mint	onion
radish	alfalfa
alfalfa	brassica
lupin	eggplant
lovage	cedar
crownvetch	beet
garlic	beet
tansy	gourd
phacelia	peanut
fava bean	corn
lovage	squash
lovage	wormwood
clover	celery
marigold	garlic
corn	lentil
potato	vetch
pea	pepper
lemon balm	apple
bush bean	cucumber
lovage	swan plant
lettuce	strawberry
pole bean	spinach
nasturtium	asparagus
tarragon	leek
stinging nettle	peppermint
rose	parsley
marigold	gourd
lovage	Dianthus
cilantro	cabbage
cabbage	vetch
peanut	squash
asparagus	basil
peppermint	lupin
soybean	tomato
lettuce	lentil
mustard	pole bean
nasturtium	lupin
corn	sunflower
comfrey	apple
lovage	pine
pole bean	dill
borage	cucumber
soybean	eggplant
swan plant	sunflower
sage	rosemary
tansy	pea
borage	crownvetch
zinnia	lupin
carrot	wormwood
lettuce	onion
sage	brussels sprout
lentil	okra
borage	soybean
spinach	strawberry
clover	pepper
tarragon	asparagus
tarragon	melon
beet	lentil
cucumber	pole bean
squash	pea
marigold	pea
lentil	cabbage
beet	fava bean
cabbage	oregano
sorghum	cucumber
lentil	celery
lovage	alfalfa
basil	chili pepper
chive	cabbage
apple	parsley
lovage	cauliflower
pole bean	lettuce
lovage	passion fruit
lovage	bush bean
basil	pepper
chard	sweet pea
eggplant	pea
beet	onion
peanut	alfalfa
peanut	cauliflower
phacelia	tomato
onion	cabbage
lovage	foxglove
pea	marigold
peanut	bush bean
vetch	turnip
peppermint	soybean
mint	garlic
pole bean	potato
pole bean	summer savory
lovage	brassica
lily	zinnia
chamomile	cucumber
lovage	hyssop
nasturtium	soybean
beet	kohlrabi
clover	leek
tansy	alfalfa
lovage	Sericea lespedeza
african spider plant	leek
peanut	brassica
fava bean	grape
lovage	cress
carrot	alfalfa
lavender	oregano
pea	lupin
lupin	okra
zinnia	soybean
marigold	alfalfa
alyssum	lettuce
bush bean	strawberry
vetch	chard
oregano	tomato
lupin	celery
tansy	brassica
garlic	tarragon
tomato	broccoli
caraway	strawberry
eggplant	alfalfa
clover	marigold
borage	pear
oregano	eggplant
mint	pea
corn	gourd
marigold	brassica
radish	beet
squash	clover
vetch	strawberry
crownvetch	cilantro
lovage	oak
okra	sweet potato
squash	okra
borage	strawberry
lettuce	radish
soybean	okra
basil	asparagus
lovage	lavender
marigold	cabbage
petunia	zucchini
leek	onion
summer savory	alfalfa
soybean	celery
pea	crownvetch
borage	lentil
fava bean	cucumber
cucumber	kohlrabi
alfalfa	marigold
borage	fava bean
summer savory	bush bean
pole bean	squash
pea	soybean
tarragon	pole bean
corn	pea
lavender	tomato
dill	tomato
alfalfa	grape
fava bean	cilantro
cabbage	peppermint
onion	beet
turnip	pea
tomato	chive
lovage	pumpkin
rosemary	carrot
borage	vetch
mustard	brussels sprout
sage	alfalfa
potato	passion fruit
pumpkin	alfalfa
chamomile	wheat
kohlrabi	onion
dill	eggplant
potato	bush bean
cucumber	lettuce
lettuce	pea
cauliflower	crownvetch
sage	bush bean
rosemary	parsnip
phacelia	clover
wormwood	brassica
peppermint	lentil
cabbage	bush bean
crownvetch	carrot
brassica	onion
nasturtium	lentil
tansy	corn
tarragon	chard
pea	turnip
sage	brassica
squash	corn
malabar spinach	cucumber
beet	pea
gourd	corn
peppermint	onion
borage	peanut
lovage	daffodil
zinnia	lentil
chive	broccoli
yarrow	lupin
pole bean	cauliflower
mustard	apple
kohlrabi	lettuce
mint	cabbage
cilantro	tarragon
crownvetch	spinach
garlic	rose
alfalfa	cucumber
fava bean	carrot
oak	blueberry
dandelion	apricot
onion	broccoli
lovage	zucchini
cucumber	radish
lupin	melon
pole bean	brassica
chard	passion fruit
larkspur	vetch
rosemary	vetch
corn	clover
sweet potato	okra
celery	cabbage
tomato	carrot
tarragon	onion
pea	strawberry
lovage	yarrow
cabbage	celery
lovage	grape
lovage	caraway
bush bean	tomato
walnut	kentucky bluegrass
potato	horseradish
Dianthus	aster
thyme	potato
thyme	brussels sprout
tansy	zucchini
tomato	parsnip
lettuce	clover
lovage	flax
strawberry	fava bean
lily	daffodil
peanut	grape
chive	tarragon
pea	lentil
tarragon	kohlrabi
bush bean	eggplant
lettuce	okra
pea	fava bean
marigold	zucchini
lovage	southernwood
clover	chard
yarrow	soybean
garlic	lettuce
